Squad,Stage,Stage_Num,n_players_Clinical Finishers,n_players_Ball-Playing Defenders,pct_mins_Clinical Finishers,pct_mins_Ball-Playing Defenders
Argentina,Champion,6,1,0,0.03340256143994462,0
France,Final,5,1,1,0.07730627306273062,0.09132841328413284
Croatia,Semi-final,4,2,0,0.07681340224558902,0
Morocco,Semi-final,4,1,0,0.09482909728308501,0
Brazil,Quarter-final,3,1,1,0.10144472361809045,0.12437185929648241
England,Quarter-final,3,0,2,0,0.2333602802479116
Netherlands,Quarter-final,3,0,1,0,0.11024007839294464
Portugal,Quarter-final,3,0,1,0,0.09941357162803686
Australia,Round of 16,2,1,0,0.08769080870412471,0
Japan,Round of 16,2,1,0,0.06990291262135923,0
Poland,Round of 16,2,1,0,0.11508951406649616,0
Senegal,Round of 16,2,0,0,0,0
South Korea,Round of 16,2,1,0,0.099316300827635845,0
Spain,Round of 16,2,0,2,0,0.23899848254931716
Switzerland,Round of 16,2,1,2,0.10960298608754666,0.1832371903630811
United States,Round of 16,2,0,1,0,0.12366884232222604
Belgium,Group Stage,1,0,0,0,0
Cameroon,Group Stage,1,2,0,0.29095354523227385,0
Canada,Group Stage,1,0,0,0,0
Costa Rica,Group Stage,1,0,0,0,0
Denmark,Group Stage,1,0,1,0,0.15393386545039908
Ecuador,Group Stage,1,2,0,0.21092029942756496,0
Germany,Group Stage,1,0,0,0,0
Ghana,Group Stage,1,1,0,0.10206185567010309,0
Iran,Group Stage,1,1,0,0.13100436681222707,0
Mexico,Group Stage,1,1,1,0.16524590163934427,0.17704918032786884
Qatar,Group Stage,1,1,1,0.10474860335195531,0.12569832402234637
Saudi Arabia,Group Stage,1,0,0,0,0
Serbia,Group Stage,1,1,0,0.1239356669820246,0
Tunisia,Group Stage,1,1,0,0.12851123595505617,0
Uruguay,Group Stage,1,1,0,0.09118387909319899,0
Wales,Group Stage,1,1,0,0.10445682451253482,0
