Player,Nation,Squad,Stage_Label,Stage_Num,Profile_Class,Profile_Label,classification_certainty,npxG_per90,xAG_per90,prog_carries_per90,pass_completion_pct,aerials_contested_per90,pressures_per90,z_npxG_per90,z_xAG_per90,z_prog_carries_per90,z_pressures_per90,z_pass_completion_pct,z_aerials_contested_per90,min_per90_sum,data_source,data_note,tournament
Joaquín Correa,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,1,0.2592592592592593,0.2469135802469136,2.7160493827160495,85.87257617728532,20,5,2.2730079869767197,3.1026225836337695,0.3064165446446939,-0.45086125966251345,0.6167874523679314,19.96033538256348,8.1,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Valentín Castellanos,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999999999995843,0.42641509433962266,0.13584905660377358,1.0188679245283019,67.65249537892791,6.428571428571429,0.8928571428571429,4.160223757558463,1.4376178378609639,-0.4684914861598592,-1.3169751319631047,-1.11163626704212,5.733560860584799,26.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Ángel Correa,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999999999952927,0.5056179775280899,0.23595505617977527,3.3707865168539324,73.57142857142858,1.4285714285714286,0.9523809523809523,5.054436814236724,2.93833975073677,0.6053598667401192,-1.3044227570022267,-0.5501445460809308,0.49211761564528417,8.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Lautaro Martínez,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999999999194671,0.47368421052631576,0.15087719298245614,1.1929824561403508,74.44794952681389,1.4814814814814814,1.2962962962962963,4.6938995427088885,1.6629095653168435,-0.38899335814588676,-1.2318979238949306,-0.46699455203784734,0.5475826235282418,28.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Julián Álvarez,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999999937754396,0.3942652329749104,0.1899641577060932,2.831541218637993,74.22360248447205,2.280701754385965,0.3508771929824561,3.797246746553543,2.2488750890318476,0.35914841413131876,-1.4312678092384687,-0.4882769356702006,1.3853961636550258,27.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Mateo Pellegrino,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999999763091235,0.4024390243902439,0.08536585365853659,0.7317073170731708,54.268292682926834,3.333333333333333,0.9090909090909091,3.8895301422067483,0.6808075646209995,-0.5996047856683898,-1.3135517569737745,-2.3813108453922758,2.4888578994317654,8.2,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Carlos Alcaraz,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.999999108636245,0.20930232558139536,0.19767441860465118,2.674418604651163,81.44329896907216,10,10,1.708986317966814,2.364462142090247,0.2874085451785851,0.60353823705125,0.1966099640656762,9.477448892684452,8.6,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Santiago Castro,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999966397419553,0.2705882352941177,0.11372549019607843,0.6666666666666666,76.78958785249458,4.333333333333333,1,2.400913915161927,1.1059561888128029,-0.6293013876938264,-1.2943808570335242,-0.2448581482985718,3.5371465484196682,25.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Alejo Véliz,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9999490289607103,0.184,0.048,0.16,65.24064171122996,7.4603174603174605,0.31746031746031744,1.4233190671248315,0.12064378206865517,-0.8606379174719762,-1.4383147565849268,-1.3404335557660587,6.815128514302476,12.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Nicolás Paz,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.9998616039160412,0.28428093645484953,0.20066889632107024,2.5752508361204014,80.58489033306256,1.7391304347826089,2.608695652173913,2.555506673230902,2.409353340876356,0.24213000418302744,-0.9551392798299655,0.11517817109804131,0.817673096697428,29.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
