Squad,Stage,Stage_Num,n_players_Primary Attackers,n_players_Ball-Playing Defenders,pct_mins_Primary Attackers,pct_mins_Ball-Playing Defenders
Argentina,Champion,6,4,1,0.27500865351332643,0.04880581516095535
France,Final,5,3,1,0.28136531365313655,0.09132841328413284
Croatia,Semi-final,4,3,1,0.1195865264658706,0.09623952949563358
Morocco,Semi-final,4,1,3,0.09482909728308501,0.1712532865907099
Brazil,Quarter-final,3,4,0,0.37248743718592964,0
England,Quarter-final,3,1,2,0.10832659660468877,0.2333602802479116
Netherlands,Quarter-final,3,1,3,0.07300342969132778,0.27266046055854976
Portugal,Quarter-final,3,3,1,0.2354091036023457,0.1005305780508238
Australia,Round of 16,2,3,0,0.27184150698278664,0
Japan,Round of 16,2,2,2,0.1541747572815534,0.17475728155339806
Poland,Round of 16,2,1,1,0.11508951406649616,0.11508951406649616
Senegal,Round of 16,2,1,0,0.1263351749539595,0
South Korea,Round of 16,2,1,1,0.099316300827635845,0.09715725080964376
Spain,Round of 16,2,0,2,0,0.23899848254931716
Switzerland,Round of 16,2,3,3,0.27723108245673567,0.30539531727180186
United States,Round of 16,2,1,1,0.10821023703194778,0.12366884232222604
Belgium,Group Stage,1,0,1,0,0.17296604740550928
Cameroon,Group Stage,1,3,1,0.40097799511002447,0.1100244498777506
Canada,Group Stage,1,1,0,0.1258969341161122,0
Costa Rica,Group Stage,1,0,1,0,0.11375126390293225
Denmark,Group Stage,1,1,2,0.11402508551881414,0.30786773090079816
Ecuador,Group Stage,1,2,1,0.21092029942756496,0.11889035667107001
Germany,Group Stage,1,3,2,0.3676695563488016,0.27536970933197347
Ghana,Group Stage,1,4,0,0.45309278350515464,0
Iran,Group Stage,1,2,0,0.2183406113537118,0
Mexico,Group Stage,1,2,1,0.29180327868852457,0.17704918032786884
Qatar,Group Stage,1,1,1,0.10474860335195531,0.12569832402234637
Saudi Arabia,Group Stage,1,2,0,0.2611702127659574,0
Serbia,Group Stage,1,2,1,0.22327341532639547,0.12771996215704826
Tunisia,Group Stage,1,2,0,0.26053370786516855,0
Uruguay,Group Stage,1,2,2,0.21209068010075566,0.22670025188916876
Wales,Group Stage,1,2,0,0.20891364902506965,0
